molec_id,nu,sw,a,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
7,105.252523,9.3e-29,1.803e-07,0.0372,0.72,0.041,5,4,2,2,2,1179,855,857,876,865
7,106.42083,1.74e-25,1.814e-07,0.0372,0.72,0.041,6,4,2,2,2,1179,855,857,876,865
7,107.098543,2.523e-29,4.742e-08,0.0372,0.72,0.041,5,4,2,2,2,1179,855,857,876,865
7,108.262817,4.717e-26,4.767e-08,0.0372,0.72,0.041,6,4,2,2,2,1179,855,857,876,865
7,114.431181,1.373e-29,4.486e-08,0.0357,0.72,0.039,5,4,2,2,2,1179,855,857,876,865
7,115.7317,2.554e-26,4.516e-08,0.0357,0.72,0.039,6,4,2,2,2,1179,855,857,876,865
7,116.575967,6.035e-29,1.997e-07,0.0357,0.72,0.039,5,4,2,2,2,1179,855,857,876,865
7,117.870772,1.122e-25,2.009e-07,0.0357,0.72,0.039,6,4,2,2,2,1179,855,857,876,865
7,118.403649,1.624e-29,5.227e-08,0.0357,0.72,0.039,5,4,2,2,2,1179,855,857,876,865
7,119.694406,3.018e-26,5.254e-08,0.0357,0.72,0.039,6,4,2,2,2,1179,855,857,876,865
7,125.716616,8.421e-30,4.968e-08,0.0352,0.72,0.037,5,4,2,2,2,1179,855,857,876,865
7,127.143634,1.557e-26,5.003e-08,0.0352,0.72,0.037,6,4,2,2,2,1179,855,857,876,865
7,127.879801,3.674e-29,2.192e-07,0.0352,0.72,0.037,5,4,2,2,2,1179,855,857,876,865
7,129.30109,6.787e-26,2.205e-07,0.0352,0.72,0.037,6,4,2,2,2,1179,855,857,876,865
7,129.689441,9.815e-30,5.709e-08,0.0352,0.72,0.037,5,4,2,2,2,1179,855,857,876,865
7,131.106673,1.813e-26,5.741e-08,0.0352,0.72,0.037,6,4,2,2,2,1179,855,857,876,865
7,136.980914,4.847e-30,5.45e-08,0.0346,0.72,0.034,5,4,2,2,2,1179,855,857,876,865
7,138.534428,8.894e-27,5.486e-08,0.0346,0.72,0.034,6,4,2,2,2,1179,855,857,876,865
